horizon,model,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,macro_f1_mean,macro_f1_std
5,hgb,0.8176724137931034,0.07543842328343749,0.6253126122919187,0.05911923566308116,0.6248823800057703,0.08509253953989775
5,rf,0.8256465517241379,0.07864903026328761,0.6284669706358694,0.05829231470892113,0.6325698935301627,0.0878064083017252
10,hgb,0.7612262521588946,0.07658326920074518,0.5235448746593563,0.05744789115512713,0.5205953033602808,0.07276046367349989
10,rf,0.7756908462867012,0.07917199749100955,0.5133322250105342,0.062245455381912396,0.5113003806190054,0.08075840227402657
20,hgb,0.6500865051903114,0.13137900130785957,0.3853582798912498,0.045626763236297684,0.3722532666161005,0.06773490165632638
20,rf,0.6851211072664359,0.13671652040461357,0.39271614703759194,0.04287618198662043,0.3770741861479674,0.06233662185039537
60,hgb,0.5030487804878049,0.12384587816885186,0.2522553015796001,0.0363784447529242,0.24307565170071355,0.04791044886332331
60,rf,0.5675087108013938,0.15508590540593675,0.2668096429714977,0.03895484175076933,0.2379513332471908,0.04605670542018864
